plan_id,democrat,republican,minority_effective,opportunity_districts,ensemble
713,6,8,5,2,VRA
714,6,8,5,2,VRA
715,6,8,5,2,VRA
716,6,8,5,2,VRA
717,6,8,5,1,VRA
718,6,8,5,1,VRA
719,6,8,5,1,VRA
720,6,8,5,1,VRA
721,6,8,5,2,VRA
722,6,8,5,2,VRA
723,6,8,5,1,VRA
724,6,8,5,1,VRA
725,6,8,5,1,VRA
726,6,8,5,1,VRA
727,6,8,5,1,VRA
728,6,8,5,1,VRA
729,6,8,5,1,VRA
730,6,8,6,1,VRA
731,6,8,6,1,VRA
732,6,8,6,1,VRA
733,6,8,6,1,VRA
734,6,8,6,1,VRA
735,6,8,6,1,VRA
736,6,8,6,1,VRA
737,6,8,6,1,VRA
738,7,7,5,1,VRA
739,7,7,5,1,VRA
740,7,7,5,1,VRA
741,7,7,5,1,VRA
742,7,7,5,1,VRA
743,7,7,5,1,VRA
744,6,8,5,1,VRA
745,6,8,5,1,VRA
746,6,8,6,1,VRA
747,6,8,6,1,VRA
748,6,8,6,1,VRA
749,6,8,6,1,VRA
750,6,8,5,1,VRA
751,6,8,5,1,VRA
752,6,8,5,1,VRA
753,6,8,5,1,VRA
754,6,8,5,1,VRA
755,6,8,6,1,VRA
756,6,8,6,1,VRA
757,6,8,6,1,VRA
758,6,8,6,1,VRA
759,6,8,6,1,VRA
760,6,8,6,1,VRA
761,6,8,6,1,VRA
762,6,8,6,1,VRA
763,6,8,6,1,VRA
764,5,9,5,1,VRA
765,5,9,5,1,VRA
766,5,9,5,1,VRA
767,5,9,5,1,VRA
768,5,9,5,1,VRA
769,5,9,5,1,VRA
770,5,9,5,1,VRA
771,5,9,5,1,VRA
772,5,9,5,1,VRA
773,5,9,5,1,VRA
774,5,9,5,1,VRA
775,5,9,5,1,VRA
776,5,9,5,1,VRA
777,5,9,5,1,VRA
778,5,9,5,1,VRA
779,5,9,5,1,VRA
780,5,9,5,1,VRA
781,5,9,5,1,VRA
782,5,9,5,1,VRA
783,5,9,5,1,VRA
784,5,9,5,1,VRA
785,5,9,5,1,VRA
786,5,9,5,1,VRA
787,5,9,5,1,VRA
788,5,9,5,1,VRA
789,5,9,5,1,VRA
790,5,9,5,1,VRA
791,5,9,5,1,VRA
792,5,9,5,1,VRA
793,5,9,5,1,VRA
794,5,9,5,1,VRA
795,5,9,5,1,VRA
796,5,9,5,1,VRA
797,5,9,5,1,VRA
798,5,9,5,1,VRA
799,5,9,5,1,VRA
800,5,9,5,1,VRA
801,5,9,5,1,VRA
802,5,9,5,1,VRA
803,5,9,5,1,VRA
804,5,9,5,1,VRA
805,5,9,5,1,VRA
806,5,9,5,1,VRA
807,5,9,5,1,VRA
808,5,9,5,1,VRA
809,5,9,5,1,VRA
810,5,9,5,1,VRA
811,5,9,5,1,VRA
812,5,9,5,1,VRA
813,5,9,5,1,VRA
814,5,9,5,1,VRA
815,5,9,5,1,VRA
816,5,9,5,1,VRA
817,5,9,5,1,VRA
818,5,9,5,1,VRA
819,5,9,5,1,VRA
820,5,9,5,1,VRA
821,5,9,5,1,VRA
822,5,9,5,1,VRA
823,5,9,5,1,VRA
824,5,9,5,1,VRA
825,5,9,5,1,VRA
826,5,9,5,1,VRA
827,5,9,5,1,VRA
828,5,9,5,1,VRA
829,5,9,5,1,VRA
830,5,9,5,1,VRA
831,5,9,5,1,VRA
832,5,9,5,1,VRA
833,5,9,5,1,VRA
834,5,9,5,1,VRA
835,5,9,5,1,VRA
836,5,9,5,1,VRA
837,5,9,5,1,VRA
838,5,9,5,1,VRA
839,5,9,5,1,VRA
840,5,9,5,1,VRA
841,5,9,5,1,VRA
842,5,9,5,1,VRA
843,5,9,5,1,VRA
844,5,9,5,1,VRA
845,5,9,5,1,VRA
846,5,9,5,1,VRA
847,5,9,5,1,VRA
848,5,9,5,1,VRA
849,5,9,5,1,VRA
850,5,9,5,1,VRA
851,5,9,5,1,VRA
852,5,9,5,1,VRA
853,5,9,5,1,VRA
854,5,9,5,1,VRA
855,5,9,5,1,VRA
856,5,9,5,1,VRA
857,5,9,5,1,VRA
858,5,9,5,1,VRA
859,5,9,5,1,VRA
860,5,9,5,1,VRA
861,5,9,5,1,VRA
862,5,9,5,1,VRA
863,5,9,5,1,VRA
864,5,9,5,2,VRA
865,5,9,5,2,VRA
866,5,9,5,2,VRA
867,5,9,5,2,VRA
868,5,9,5,2,VRA
869,5,9,5,2,VRA
870,5,9,5,2,VRA
871,5,9,5,2,VRA
872,5,9,5,2,VRA
873,5,9,5,2,VRA
874,5,9,5,2,VRA
875,5,9,5,2,VRA
876,5,9,5,2,VRA
877,5,9,5,2,VRA
878,5,9,5,2,VRA
879,5,9,5,2,VRA
880,5,9,5,2,VRA
881,5,9,5,2,VRA
882,5,9,5,2,VRA
883,5,9,5,2,VRA
884,5,9,5,2,VRA
885,5,9,5,2,VRA
886,5,9,5,2,VRA
887,5,9,5,2,VRA
888,5,9,5,2,VRA
889,5,9,5,2,VRA
890,5,9,5,2,VRA
891,5,9,5,2,VRA
892,5,9,5,2,VRA
893,5,9,5,2,VRA
894,5,9,5,2,VRA
895,6,8,6,2,VRA
896,6,8,6,2,VRA
897,6,8,6,2,VRA
898,6,8,6,2,VRA
899,6,8,6,2,VRA
900,6,8,6,2,VRA
901,6,8,6,2,VRA
902,6,8,6,2,VRA
903,6,8,6,2,VRA
